number,name,city,district,address,phone,status
230,桃園汽車客運股份有限公司,桃園市,桃園區,福安里延平路２８號３樓,03-3753711,營業中
403,翔舜通運有限公司,桃園市,平鎮區,工業西路２７號１樓,03-4193021-2,營業中
523,加貝通運有限公司,桃園市,中壢區,環北路398號16樓之7,03-4271618,營業中
767,陽光通運有限公司,臺北市,中山區,長春路１７２號８Ｆ－１２,02-25152766,籌設中
914,銀翼通運有限公司,臺北市,大同區,承德路一段６６號１Ｆ,02-25504999,已撤銷
1060,雲翼通運有限公司,臺北市,大同區,承德路一段６６號１０樓,02-25504999,已撤銷
1153,瑞峯通運有限公司,臺北市,大安區,和平東路二段２０１號７樓之３,02-22363878,營業中
1245,蓬樂交通股份有限公司,苗栗縣,苗栗市,福安里２１鄰新村６２號,264995.0910450633,營業中
1360,京華通運有限公司,臺北市,中山區,松江路１３３巷５０號２樓之３,02-29948700,營業中
1426,鼎茂通運有限公司,臺北市,松山區,南京東５段２０２號８樓之５,02-25280745,已撤銷
1539,大南通運股份有限公司,臺北市,大安區,和平東路三段６３號４Ｆ－５,02-28583740,營業中
1627,偉成交通有限公司,臺南市,東區,自由路二段１８１號壹樓,062680881,已撤銷
1809,甲天下通運有限公司,臺北市,中山區,新生北路３段７６號,02-25325686,營業中
1952,大中全遊覽車客運股份有限公司,桃園市,平鎮區,復旦路二段117巷19號,03-4930058,營業中
2103,台北聯合遊覽汽車股份有限公司,臺北市,松山區,民生東路五段１６７號１６樓,02-27658599,已撤銷
2253,每天通運有限公司,臺北市,大同區,環河北路二段６９巷１號１Ｆ,02-25983048,籌設中
2392,九久通運有限公司,臺北市,大安區,和平東路二段２０１號７樓之３,8923828289238822,營業中
2460,龍萊交通企業有限公司,臺北市,中山區,建國北路３段７８號３樓,02-27119099,營業中
2590,翔盛通運有限公司,臺北市,文山區,興隆路二段１５４巷３號１樓,02-26229632,變更中
2704,豐上通運股份有限公司,桃園市,平鎮區,新德街１６７號,03-4016768,營業中
2838,上賓通運事業股份有限公司,桃園市,中壢區,中華路一段２２４號１樓,03-4554259,營業中
2957,百駿通運股份有限公司,臺北市,中山區,南京東路二段１７８號８樓,02-25078111,營業中
3069,鳳和交通有限公司,臺南市,新營區,裕民路８號,06-6560647,已撤銷
3165,興達交通事業股份有限公司,臺北市,大安區,大安路二段132巷10號一樓,02-27556041,變更中
3275,皇冠遊覽車客運有限公司,臺北市,文山區,辛亥路四段２５６號４樓,,籌設中
3394,瑞億遊覽車股份有限公司,桃園市,八德區,青溪一街１９－２號３樓,03-3617659.3617777,營業中
3561,中誼交通企業有限公司,新竹縣,芎林鄉,文山路４６４號１樓,0921-920312,營業中
3643,全翔交通有限公司,臺北市,松山區,塔悠路３１８號,02-27662988,營業中
3717,馬祖遊覽車客運行,連江縣,南竿鄉,珠螺村１４號,0937868180,已撤銷
3812,華馥遊覽車客運有限公司,臺北市,中山區,長春路１７２號８樓之８,02-27622637,營業中
3941,今聯遊覽汽車股份有限公司,臺北市,北投區,豐年路二段１４１號一樓,02-2591585,營業中
4028,三富遊覽汽車有限公司,臺南市,永康區,復華里國華街１０３巷５號1樓,06-2643914,已撤銷
4154,豊勝交通企業股份有限公司,臺南市,永康區,六合里中華路４２５號１６樓之２,06-3039222,營業中
