TagNumber,Make,Year,Expired,TicketProcessing,TicketAll,Insurance,Length,Width,Weight,EngineSize,ABS,BreakAssist,GPS,CompanyNumber,Horsepower_kw,Torque_kwm
069-BB,MITSUBISHI,2002-09-01,N,0.0,13.0,Y,1220.0,250.0,17.0,11945.0,N,N,N,28.0,235.4,125.0
093-CC,成運,2008-03-01,N,32.0,26.0,Y,1220.0,250.0,17.0,11705.0,Y,引擎排氣煞車,Y,28.0,279.0,193.7
312-NN,MITSUBISHI,2001-02-01,N,0.0,3.0,Y,1220.0,250.0,17.0,11945.0,N,引擎排氣煞車,N,28.0,235.4,125.0
325-BB,順益,2004-04-01,N,0.0,22.0,Y,1220.0,250.0,17.0,11945.0,N,引擎排氣煞車,N,28.0,257.4,145.0
339-NN,斯堪尼亞,2010-08-01,Y,1.0,205.0,Y,1220.0,250.0,17.0,8867.0,Y,引擎排氣煞車,N,28.0,228.0,158.1
361-EE,MITSUBISHI,1998-10-01,N,0.0,3.0,Y,1220.0,250.0,16.5,11149.0,N,N,N,28.0,NA,NA
373-ZZ,SCANIA,2002-03-01,N,0.0,1.0,Y,1220.0,250.0,17.0,10640.0,N,引擎減速器,N,28.0,250.0,163.2
380-W2,MAN,2015-02-01,N,0.0,7.0,Y,1220.0,250.0,17.0,10518.0,Y,引擎排氣煞車,N,28.0,294.0,193.8
398-NN,MITSUBISHI,2002-03-01,N,0.0,141.0,Y,1220.0,250.0,17.0,11945.0,N,N,N,28.0,235.4,125.0
449-V6,成運,2006-01-01,N,53.0,17.0,Y,1220.0,250.0,17.0,10640.0,N,N,N,28.0,NA,NA
502-V6,SCANIA,2003-01-01,N,0.0,4.0,Y,1219.0,250.0,17.0,10640.0,N,引擎減速器,N,28.0,250.0,163.2
522-AA,福方,2004-08-01,N,0.0,7.0,Y,1220.0,250.0,17.0,10640.0,N,引擎減速器,N,28.0,250.0,163.2
536-V6,順益,2008-07-01,N,0.0,2.0,Y,1220.0,250.0,15.5,7545.0,N,引擎排氣煞車,N,28.0,204.5,82.0
537-HH,富豪,2006-09-01,N,0.0,136.0,Y,1220.0,250.0,17.0,12130.0,Y,引擎排氣煞車,N,28.0,317.0,207.4
591-WW,順益,2005-04-01,N,0.0,4.0,Y,1220.0,250.0,17.0,11945.0,N,引擎排氣煞車,N,28.0,257.4,145.0
595-WW,斯堪尼亞,2013-03-01,N,0.0,62.0,Y,1220.0,250.0,17.0,9290.0,Y,引擎排氣煞車,Y,28.0,235.0,163.2
