TagNumber,Make,Year,Expired,TicketProcessing,TicketAll,Insurance,Horsepower,Torque,Length,Width,Weight,EngineSize,ABS,BreakAssist,GPS,CompanyNumber
069-BB,MITSUBISHI,200209,無,0,13,有,235.4kw(320ps),125kg-m,1220,250,17.0,11945,無,無,無,28
093-CC,成運,200803,無,32,26,有,279.0KW,193.7kg-m,1220,250,17.0,11705,有,引擎排氣煞車,有,28
312-NN,MITSUBISHI,200102,無,0,3,有,235.4kw(320ps),125kg-m,1220,250,17.0,11945,無,引擎排氣煞車,無,28
325-BB,順益,200404,無,0,22,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,無,28
339-NN,斯堪尼亞,201008,有,1,205,有,228.0kW,158.1kg-m,1220,250,17.0,8867,有,引擎排氣煞車,無,28
361-EE,MITSUBISHI,199810,無,0,3,有,無資料,無資料,1220,250,16.5,11149,無,無,無,28
373-ZZ,SCANIA,200203,無,0,1,有,250.0kW,163.2kg-m,1220,250,17.0,10640,無,引擎減速器,無,28
380-W2,MAN,201502,無,0,7,有,294kW,193.8kg-m,1220,250,17.0,10518,有,引擎排氣煞車,無,28
398-NN,MITSUBISHI,200203,無,0,141,有,235.4kw(320ps),125kg-m,1220,250,17.0,11945,無,無,無,28
449-V6,成運,200601,無,53,17,有,無資料,無資料,1220,250,17.0,10640,無,無,無,28
502-V6,SCANIA,200301,無,0,4,有,250.0kW,163.2kg-m,1219,250,17.0,10640,無,引擎減速器,無,28
522-AA,福方,200408,無,0,7,有,250.0kW,163.2kg-m,1220,250,17.0,10640,無,引擎減速器,無,28
536-V6,順益,200807,無,0,2,有,204.5kw(278ps),82kg-m,1220,250,15.5,7545,無,引擎排氣煞車,無,28
537-HH,富豪,200609,無,0,136,有,317kw,207.4kg-m,1220,250,17.0,12130,有,引擎排氣煞車,無,28
591-WW,順益,200504,無,0,4,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,無,28
595-WW,斯堪尼亞,201303,無,0,62,有,235.0kW,163.2kg-m,1220,250,17.0,9290,有,引擎排氣煞車,有,28
